title,artist,year,genre
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,2012,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary"
A Thousand Years,Christina Perri,2012,pop
Take A Little Ride,Jason Aldean,2012,"contemporary country, country, country road, modern country rock"
You Da One,Rihanna,2012,"barbadian pop, pop, urban contemporary"
We Run The Night,Havana Brown Featuring Pitbull,2012,"australian dance, australian pop"
It's Time,Imagine Dragons,2012,"modern rock, pop, rock"
Cashin' Out,Ca$h Out,2012,"atl hip hop, dirty south rap, futuristic swag, trap"
I Don't Want This Night To End,Luke Bryan,2012,"contemporary country, country, country road"
Diamonds,Rihanna,2012,"barbadian pop, pop, urban contemporary"
Hard To Love,Lee Brice,2012,"contemporary country, country, country road, modern country rock"
Somethin' 'Bout A Truck,Kip Moore,2012,"contemporary country, country, country road, modern country rock"
Adorn,Miguel,2012,r&b
Fly Over States,Jason Aldean,2012,"contemporary country, country, country road, modern country rock"
Even If It Breaks Your Heart,Eli Young Band,2012,"classic texas country, contemporary country, country, country road, heartland rock"
Burn It Down,Linkin Park,2012,"alternative metal, nu metal, post-grunge, rap metal, rock"
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2013,"pop rap, seattle hip hop"
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013,"dance pop, neo soul, pop rap, r&b, urban contemporary"
Radioactive,Imagine Dragons,2013,"modern rock, pop, rock"
Harlem Shake,Baauer,2013,"edm, electro house, electronic trap"
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013,"hip hop, pop, contemporary r&b"
Mirrors,Justin Timberlake,2013,"dance pop, pop"
Just Give Me A Reason,P!nk Featuring Nate Ruess,2013,"dance pop, pop"
When I Was Your Man,Bruno Mars,2013,"dance pop, pop"
Cruise,Florida Georgia Line Featuring Nelly,2013,"contemporary country, country, country pop, country road, modern country rock"
Roar,Katy Perry,2013,pop
Locked Out Of Heaven,Bruno Mars,2013,"dance pop, pop"
Ho Hey,The Lumineers,2013,"folk-pop, modern rock, stomp and holler"
Stay,Rihanna Featuring Mikky Ekko,2013,"barbadian pop, pop, urban contemporary"
Get Lucky,Daft Punk Featuring Pharrell Williams,2013,"electro, filter house, rock"
Royals,Lorde,2013,"art pop, metropopolis, nz pop, pop"
I Knew You Were Trouble.,Taylor Swift,2013,pop
We Can't Stop,Miley Cyrus,2013,pop
Wrecking Ball,Miley Cyrus,2013,pop
Wake Me Up!,Avicii,2013,"edm, pop, pop dance"
Suit & Tie,Justin Timberlake Featuring JAY Z,2013,"dance pop, pop"
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013,hollywood
Holy Grail,Jay Z Featuring Justin Timberlake,2013,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
Scream & Shout,will.i.am & Britney Spears,2013,"dance pop, pop"
Clarity,Zedd Featuring Foxes,2013,"complextro, edm, german techno, pop, pop dance"
Sail,AWOLNATION,2013,"la indie, modern alternative rock, modern rock, rock, stomp pop"
Don't You Worry Child,Swedish House Mafia Featuring John Martin,2013,"progressive house, big room, electronic"
Diamonds,Rihanna,2013,"barbadian pop, pop, urban contemporary"
I Love It,Icona Pop Featuring Charli XCX,2013,"candy pop, dance pop, electropop, metropopolis, swedish electropop, swedish synthpop"
Safe And Sound,Capital Cities,2013,"metropopolis, modern rock"
Treasure,Bruno Mars,2013,"dance pop, pop"
The Way,Ariana Grande Featuring Mac Miller,2013,pop
Started From The Bottom,Drake,2013,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Come & Get It,Selena Gomez,2013,"pop, post-teen pop"
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2013,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Daylight,Maroon 5,2013,pop
Feel This Moment,Pitbull Featuring Christina Aguilera,2013,"dance pop, miami hip hop, pop"
Applause,Lady Gaga,2013,"art pop, dance pop, pop"
One More Night,Maroon 5,2013,pop
Love Me,Lil Wayne Featuring Drake & Future,2013,"hip hop, new orleans rap, pop rap, rap, trap"
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013,"emo, modern rock, pop, pop punk, rock"
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",2013,"east coast hip hop, hip hop, rap, trap"
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013,"canadian pop, pop"
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,2013,"pop rap, seattle hip hop"
Sweet Nothing,Calvin Harris Featuring Florence Welch,2013,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,2013,"art pop, pop"
Home,Phillip Phillips,2013,"folk-pop, neo mellow, pop rock"
It's Time,Imagine Dragons,2013,"modern rock, pop, rock"
Power Trip,J. Cole Featuring Miguel,2013,"conscious hip hop, hip hop, north carolina hip hop, rap"
Girl On Fire,Alicia Keys Featuring Nicki Minaj,2013,"neo soul, pop, r&b"
Heart Attack,Demi Lovato,2013,"pop, post-teen pop"
Love Somebody,Maroon 5,2013,pop
I Will Wait,Mumford & Sons,2013,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana"
Try,P!nk,2013,"dance pop, pop"
Wagon Wheel,Darius Rucker,2013,"black americana, contemporary country, country, country road"
Gangnam Style,PSY,2013,"k-rap, korean old school hip hop"
I Need Your Love,Calvin Harris Featuring Ellie Goulding,2013,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Die Young,Ke$ha,2013,electronic
Some Nights,fun.,2013,"baroque pop, metropopolis"
Bad,Wale Featuring Tiara Thomas Or Rihanna,2013,"pop rap, r&b, rap, southern hip hop, trap"
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,2013,"classic oklahoma country, contemporary country, country, country road"
"Gone, Gone, Gone",Phillip Phillips,2013,"folk-pop, neo mellow, pop rock"
Demons,Imagine Dragons,2013,"modern rock, pop, rock"
Counting Stars,OneRepublic,2013,"piano rock, pop"
I Cry,Flo Rida,2013,"dance pop, miami hip hop, pop, pop rap"
Little Talks,Of Monsters And Men,2013,"folk-pop, metropopolis, modern rock, stomp and holler"
The Other Side,Jason Derulo,2013,"dance pop, pop"
Berzerk,Eminem,2013,"detroit hip hop, hip hop, rap"
Catch My Breath,Kelly Clarkson,2013,"dance pop, pop, talent show"
Crash My Party,Luke Bryan,2013,"contemporary country, country, country road"
Pour It Up,Rihanna,2013,"barbadian pop, pop, urban contemporary"
22,Taylor Swift,2013,pop
I Want Crazy,Hunter Hayes,2013,"contemporary country, country, country road, modern country rock"
The Fox,Ylvis,2013,comic
Best Song Ever,One Direction,2013,"boy band, pop, post-teen pop, talent show"
The A Team,Ed Sheeran,2013,"pop, singer-songwriter pop, uk pop"
Carry On,fun.,2013,"baroque pop, metropopolis"
Highway Don't Care,Tim McGraw With Taylor Swift,2013,"contemporary country, country, country road"
That's My Kind Of Night,Luke Bryan,2013,"contemporary country, country, country road"
Swimming Pools (Drank),Kendrick Lamar,2013,"conscious hip hop, hip hop, rap, west coast rap"
Sure Be Cool If You Did,Blake Shelton,2013,"classic oklahoma country, contemporary country, country, country road"
#Beautiful,Mariah Carey Featuring Miguel,2013,"dance pop, pop, urban contemporary"
Troublemaker,Olly Murs Featuring Flo Rida,2013,"dance pop, pop, talent show"
Body Party,Ciara,2013,"dance pop, hip pop, pop, r&b, urban contemporary"
Adorn,Miguel,2013,r&b
Hall Of Fame,The Script Featuring will.i.am,2013,"celtic rock, pop"
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,"dance pop, pop, r&b, urban contemporary"
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,2013,"atl hip hop, dirty south rap, old school atlanta hip hop, trap"
Next To Me,Emeli Sande,2013,"r&b, talent show"
Mama's Broken Heart,Miranda Lambert,2013,"contemporary country, country, country dawn, country road"
It Goes Like This,Thomas Rhett,2013,"contemporary country, country, country road, modern country rock"
Bugatti,Ace Hood Featuring Future & Rick Ross,2013,"dirty south rap, miami hip hop, pop rap, rap, southern hip hop, trap"
Wanted,Hunter Hayes,2013,"contemporary country, country, country road, modern country rock"
Downtown,Lady Antebellum,2013,"contemporary country, country, country dawn, country pop, country road"
Get Your Shine On,Florida Georgia Line,2013,"contemporary country, country, country pop, country road, modern country rock"
#thatPOWER,will.i.am Featuring Justin Bieber,2013,"dance pop, pop"
Brave,Sara Bareilles,2013,"acoustic pop, lilith, neo mellow, pop rock, post-teen pop"
Let Her Go,Passenger,2013,"folk-pop, neo mellow"
Runnin' Outta Moonlight,Randy Houser,2013,"contemporary country, country, country road"
I'm Different,2 Chainz,2013,hardcore hip hop
Still Into You,Paramore,2013,"candy pop, pixie, pop, pop emo, pop punk, rock"
Happy,Pharrell Williams,2014,"dance pop, pop"
Dark Horse,Katy Perry Featuring Juicy J,2014,pop
All Of Me,John Legend,2014,"neo soul, pop, pop soul, urban contemporary"
Fancy,Iggy Azalea Featuring Charli XCX,2014,"australian hip hop, dance pop, pop"
Counting Stars,OneRepublic,2014,"piano rock, pop"
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014,"dance pop, pop"
Rude,MAGIC!,2014,"pop, reggae fusion"
All About That Bass,Meghan Trainor,2014,"hip pop, pop"
Problem,Ariana Grande Featuring Iggy Azalea,2014,pop
Stay With Me,Sam Smith,2014,"pop, uk pop"
Timber,Pitbull Featuring Ke$ha,2014,"dance pop, miami hip hop, pop"
Pompeii,Bastille,2014,"metropopolis, modern rock, pop"
Shake It Off,Taylor Swift,2014,pop
Am I Wrong,Nico & Vinz,2014,afrobeats
Turn Down For What,DJ Snake & Lil Jon,2014,"edm, electronic trap, pop, pop dance"
The Monster,Eminem Featuring Rihanna,2014,"detroit hip hop, hip hop, rap"
Say Something,A Great Big World & Christina Aguilera,2014,"neo mellow, piano rock, pop rock, viral pop"
Team,Lorde,2014,"art pop, metropopolis, nz pop, pop"
Let Her Go,Passenger,2014,"folk-pop, neo mellow"
Royals,Lorde,2014,"art pop, metropopolis, nz pop, pop"
Let It Go,Idina Menzel,2014,"hollywood, movie tunes, show tunes"
Wake Me Up!,Avicii,2014,"edm, pop, pop dance"
Demons,Imagine Dragons,2014,"modern rock, pop, rock"
Story Of My Life,One Direction,2014,"boy band, pop, post-teen pop, talent show"
Chandelier,Sia,2014,"australian dance, australian pop, pop"
Black Widow,Iggy Azalea Featuring Rita Ora,2014,"australian hip hop, dance pop, pop"
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014,"dance pop, pop"
Latch,Disclosure Featuring Sam Smith,2014,"edm, house, indietronica, uk dance"
Maps,Maroon 5,2014,pop
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,2014,"pop rap, r&b, rap"
Best Day Of My Life,American Authors,2014,"modern rock, pop rock"
Habits (Stay High),Tove Lo,2014,"metropopolis, pop, swedish electropop, swedish pop, swedish synthpop"
Summer,Calvin Harris,2014,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Boom Clap,Charli XCX,2014,"art pop, candy pop, metropopolis, pop, uk pop"
Drunk In Love,Beyonce Featuring Jay Z,2014,"pop, r&b"
Anaconda,Nicki Minaj,2014,"hip pop, pop, queens hip hop, rap"
Break Free,Ariana Grande Featuring Zedd,2014,pop
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,2014,"dance pop, latin pop, mexican pop"
Burn,Ellie Goulding,2014,"indietronica, metropopolis, pop, uk pop"
Wiggle,Jason Derulo Featuring Snoop Dogg,2014,"dance pop, pop"
Rather Be,Clean Bandit Featuring Jess Glynne,2014,"pop, uk dance, uk funky"
Don't Tell 'Em,Jeremih Featuring YG,2014,"hip hop, contemporary r&b"
Show Me,Kid Ink Featuring Chris Brown,2014,"pop rap, rap, southern hip hop, trap"
Wrecking Ball,Miley Cyrus,2014,pop
Not A Bad Thing,Justin Timberlake,2014,"dance pop, pop"
Roar,Katy Perry,2014,pop
Ain't It Fun,Paramore,2014,"candy pop, pixie, pop, pop emo, pop punk, rock"
The Man,Aloe Blacc,2014,"pop soul, r&b"
This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,2014,"contemporary country, country, country pop, country road, modern country rock"
Classic,MKTO,2014,"pop, post-teen pop"
A Sky Full Of Stars,Coldplay,2014,"permanent wave, pop"
Don't,Ed Sheeran,2014,"pop, singer-songwriter pop, uk pop"
Na Na,Trey Songz,2014,"dance pop, r&b, southern hip hop, trap, urban contemporary"
Hot Boy,Bobby Shmurda,2014,"nyc rap, rap, southern hip hop, trap"
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Sing,Ed Sheeran,2014,"pop, singer-songwriter pop, uk pop"
Radioactive,Imagine Dragons,2014,"modern rock, pop, rock"
My Hitta,YG Featuring Jeezy & Rich Homie Quan,2014,"cali rap, hip hop, pop rap, rap, southern hip hop, trap"
Cool Kids,Echosmith,2014,"electropop, indie poptimism, viral pop"
Hey Brother,Avicii,2014,"edm, pop, pop dance"
Trumpets,Jason Derulo,2014,"dance pop, pop"
Animals,Maroon 5,2014,pop
Burnin' It Down,Jason Aldean,2014,"contemporary country, country, country road, modern country rock"
Play It Again,Luke Bryan,2014,"contemporary country, country, country road"
2 On,Tinashe Featuring ScHoolboy Q,2014,"alternative r&b, dance pop, metropopolis, post-teen pop, r&b, urban contemporary"
Dirt,Florida Georgia Line,2014,"contemporary country, country, country pop, country road, modern country rock"
Love Runs Out,OneRepublic,2014,"piano rock, pop"
Bottoms Up,Brantley Gilbert,2014,"contemporary country, country, country road, modern country rock"
Shower,Becky G,2014,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino"
Me And My Broken Heart,Rixton,2014,"post-teen pop, teen pop, viral pop"
Animals,Martin Garrix,2014,"dutch edm, edm, pop, pop dance, progressive house"
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,2014,"hip hop, pop rap, southern hip hop"
American Kids,Kenny Chesney,2014,"contemporary country, country, country road"
Brave,Sara Bareilles,2014,"acoustic pop, lilith, neo mellow, pop rock, post-teen pop"
Sweater Weather,The Neighbourhood,2014,"modern alternative rock, modern rock, pop"
Leave The Night On,Sam Hunt,2014,"contemporary country, country, country pop"
New Flame,Chris Brown Featuring Usher & Rick Ross,2014,"pop rap, r&b, rap"
Love Never Felt So Good,Michael Jackson & Justin Timberlake,2014,"r&b, soul"
Drunk On A Plane,Dierks Bentley,2014,"contemporary country, country, country road"
Birthday,Katy Perry,2014,pop
Bartender,Lady Antebellum,2014,"contemporary country, country, country dawn, country pop, country road"
La La La,Naughty Boy Featuring Sam Smith,2014,uk contemporary r&b
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014,"dance pop, neo soul, pop rap, r&b, urban contemporary"
Do What U Want,Lady Gaga Featuring R. Kelly,2014,"art pop, dance pop, pop"
Can't Remember To Forget You,Shakira Featuring Rihanna,2014,"new wave pop, pop rock"
Amnesia,5 Seconds Of Summer,2014,"boy band, pop"
No Mediocre,T.I. Featuring Iggy Azalea,2014,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Come With Me Now,KONGOS,2014,"modern alternative rock, modern blues rock, south african rock"
Believe Me,Lil Wayne Featuring Drake,2014,"hip hop, new orleans rap, pop rap, rap, trap"
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",2014,"atl hip hop, rap, southern hip hop, trap"
Beachin',Jake Owen,2014,"contemporary country, country, country road"
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,2014,"pop rap, seattle hip hop"
She Looks So Perfect,5 Seconds Of Summer,2014,"boy band, pop"
Stay The Night,Zedd Featuring Hayley Williams,2014,"complextro, edm, german techno, pop, pop dance"
Partition,Beyonce,2014,"pop, r&b"
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,2014,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
0 To 100 / The Catch Up,Drake,2014,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
I Don't Dance,Lee Brice,2014,"contemporary country, country, country road, modern country rock"
Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,2014,"contemporary country, country, country dawn, country road"
Adore You,Miley Cyrus,2014,pop
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015,pop soul
Thinking Out Loud,Ed Sheeran,2015,"pop, singer-songwriter pop, uk pop"
See You Again,Wiz Khalifa Featuring Charlie Puth,2015,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap"
Trap Queen,Fetty Wap,2015,"new jersey rap, pop rap, rap, southern hip hop, trap"
Sugar,Maroon 5,2015,pop
Shut Up And Dance,WALK THE MOON,2015,"dance rock, modern rock, pop"
Blank Space,Taylor Swift,2015,pop
Watch Me,Silento,2015,"chicago bop, pinoy hip hop"
Earned It (Fifty Shades Of Grey),The Weeknd,2015,"canadian contemporary r&b, canadian pop, pop"
The Hills,The Weeknd,2015,"canadian contemporary r&b, canadian pop, pop"
Cheerleader,OMI,2015,reggae fusion
Can't Feel My Face,The Weeknd,2015,"dance pop, contemporary r&b"
Love Me Like You Do,Ellie Goulding,2015,"indietronica, metropopolis, pop, uk pop"
Take Me To Church,Hozier,2015,"irish singer-songwriter, modern rock, pop, pov: indie"
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,pop
Lean On,Major Lazer & DJ Snake Featuring MO,2015,"dance pop, edm, electro house, moombahton, pop, pop dance"
Want To Want Me,Jason Derulo,2015,"dance pop, pop"
Shake It Off,Taylor Swift,2015,pop
Where Are U Now,Skrillex & Diplo With Justin Bieber,2015,"brostep, complextro, edm, electro, pop dance"
Fight Song,Rachel Platten,2015,"post-teen pop, viral pop"
679,Fetty Wap Featuring Remy Boyz,2015,"new jersey rap, pop rap, rap, southern hip hop, trap"
Lips Are Movin,Meghan Trainor,2015,"hip pop, pop"
Worth It,Fifth Harmony Featuring Kid Ink,2015,"girl group, pop, talent show"
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,2015,"dance pop, hip pop, r&b, rap, southern hip hop, trap, urban contemporary"
"Honey, I'm Good.",Andy Grammer,2015,"neo mellow, post-teen pop"
I'm Not The Only One,Sam Smith,2015,"pop, r&b"
Good For You,Selena Gomez Featuring A$AP Rocky,2015,"pop, post-teen pop"
All About That Bass,Meghan Trainor,2015,"hip pop, pop"
Style,Taylor Swift,2015,pop
Hotline Bling,Drake,2015,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",2015,"big room, dance pop, edm, pop, pop dance"
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,2015,"dance pop, miami hip hop, pop, pop rap"
What Do You Mean?,Justin Bieber,2015,"canadian pop, pop"
Photograph,Ed Sheeran,2015,"pop, singer-songwriter pop, uk pop"
Hello,Adele,2015,"british soul, pop, pop soul, uk pop"
Stitches,Shawn Mendes,2015,"canadian pop, pop, viral pop"
Talking Body,Tove Lo,2015,"metropopolis, pop, swedish electropop, swedish pop, swedish synthpop"
Jealous,Nick Jonas,2015,"dance pop, pop"
Time Of Our Lives,Pitbull & Ne-Yo,2015,"dance pop, miami hip hop, pop"
Locked Away,R. City Featuring Adam Levine,2015,"reggae fusion, virgin islands reggae"
Somebody,Natalie La Rose Featuring Jeremih,2015,viral trap
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,2015,"barbadian pop, pop, urban contemporary"
Centuries,Fall Out Boy,2015,"emo, modern rock, pop, pop punk, rock"
My Way,Fetty Wap Featuring Monty,2015,"new jersey rap, pop rap, rap, southern hip hop, trap"
Take Your Time,Sam Hunt,2015,"contemporary country, country, country pop"
Animals,Maroon 5,2015,pop
I Don't F**k With You,Big Sean Featuring E-40,2015,"detroit hip hop, hip hop, pop rap, r&b, rap, trap"
B**** Better Have My Money,Rihanna,2015,"barbadian pop, pop, urban contemporary"
Flex (Ooh Ooh Ooh),Rich Homie Quan,2015,"atl hip hop, rap, southern hip hop, trap"
Nasty Freestyle,T-Wayne,2015,"houston rap, viral trap"
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015,"hip pop, pop, queens hip hop, rap"
Elastic Heart,Sia,2015,"australian dance, australian pop, pop"
Cool For The Summer,Demi Lovato,2015,"pop, post-teen pop"
Renegades,X Ambassadors,2015,"modern alternative rock, modern rock, stomp pop"
I Don't Mind,Usher Featuring Juicy J,2015,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Love Me Harder,Ariana Grande & The Weeknd,2015,pop
Wildest Dreams,Taylor Swift,2015,pop
Stay With Me,Sam Smith,2015,"pop, uk pop"
You Know You Like It,DJ Snake & AlunaGeorge,2015,"edm, electronic trap, pop, pop dance"
Uma Thurman,Fall Out Boy,2015,"emo, modern rock, pop, pop punk, rock"
7/11,Beyonce,2015,"pop, r&b"
The Heart Wants What It Wants,Selena Gomez,2015,"pop, post-teen pop"
Girl Crush,Little Big Town,2015,"contemporary country, country, country dawn, country road"
Slow Motion,Trey Songz,2015,"dance pop, r&b, southern hip hop, trap, urban contemporary"
Drag Me Down,One Direction,2015,"boy band, pop, post-teen pop, talent show"
Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,2015,"hip pop, pop, queens hip hop, rap"
One Last Time,Ariana Grande,2015,pop
Chains,Nick Jonas,2015,"dance pop, pop"
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,2015,"hip hop, philly rap, pop rap, rap, southern hip hop, trap"
No Type,Rae Sremmurd,2015,"melodic rap, mississippi hip hop, pop rap, rap, trap"
Riptide,Vance Joy,2015,"folk-pop, modern rock"
Classic Man,Jidenna Featuring Roman GianArthur,2015,"ghanaian hip hop, viral trap"
Ex's & Oh's,Elle King,2015,modern blues rock
Dear Future Husband,Meghan Trainor,2015,"hip pop, pop"
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,2015,"pop, viral pop"
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2015,"hip pop, pop"
Habits (Stay High),Tove Lo,2015,"metropopolis, pop, swedish electropop, swedish pop, swedish synthpop"
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015,"orchestral soundtrack, soundtrack"
CoCo,O.T. Genasis,2015,"southern hip hop, trap"
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2015,"dance pop, pop"
Lay Me Down,Sam Smith,2015,"pop, uk pop"
Tuesday,I LOVE MAKONNEN Featuring Drake,2015,"atl hip hop, lgbtq+ hip hop, trap"
Hit The Quan,iLoveMemphis,2015,"chicago bop, viral trap"
Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",2015,"pop rap, seattle hip hop"
House Party,Sam Hunt,2015,"contemporary country, country, country pop"
Ayo,Chris Brown & Tyga,2015,"pop rap, r&b, rap"
Kick The Dust Up,Luke Bryan,2015,"contemporary country, country, country road"
Blessings,Big Sean Featuring Drake,2015,"detroit hip hop, hip hop, pop rap, r&b, rap, trap"
Budapest,George Ezra,2015,"folk-pop, neo-singer-songwriter"
Chandelier,Sia,2015,"australian dance, australian pop, pop"
Heartbeat Song,Kelly Clarkson,2015,"dance pop, pop, talent show"
Don't,Ed Sheeran,2015,"pop, singer-songwriter pop, uk pop"
Ghost,Ella Henderson,2015,"dance pop, pop dance, talent show, uk pop"
Here,Alessia Cara,2015,"canadian contemporary r&b, canadian pop, pop"
Waves,Mr. Probz,2015,pop dance
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,2015,"latin hip hop, reggaeton, trap latino, urbano latino"
She Knows,Ne-Yo Featuring Juicy J,2015,"dance pop, pop, r&b, urban contemporary"
Night Changes,One Direction,2015,"boy band, pop, post-teen pop, talent show"
Back To Back,Drake,2015,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
How Deep Is Your Love,Calvin Harris & Disciples,2015,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Love Yourself,Justin Bieber,2016,"canadian pop, pop"
Sorry,Justin Bieber,2016,"canadian pop, pop"
One Dance,Drake Featuring WizKid & Kyla,2016,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Work,Rihanna Featuring Drake,2016,"barbadian pop, pop, urban contemporary"
Stressed Out,twenty one pilots,2016,"modern rock, pop, pov: indie, rock"
Panda,Desiigner,2016,"pop rap, rap, southern hip hop, trap, viral trap"
Hello,Adele,2016,"british soul, pop, pop soul, uk pop"
Don't Let Me Down,The Chainsmokers Featuring Daya,2016,lullaby
Can't Stop The Feeling!,Justin Timberlake,2016,"pop, dance pop"
Closer,The Chainsmokers Featuring Halsey,2016,"electropop, pop"
Cheap Thrills,Sia Featuring Sean Paul,2016,"australian dance, australian pop, pop"
7 Years,Lukas Graham,2016,"danish pop, scandipop"
Needed Me,Rihanna,2016,"barbadian pop, pop, urban contemporary"
My House,Flo Rida,2016,"dance pop, miami hip hop, pop, pop rap"
I Took A Pill In Ibiza,Mike Posner,2016,"dance pop, pop, pop dance, pop rap"
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016,"girl group, pop, talent show"
This Is What You Came For,Calvin Harris Featuring Rihanna,2016,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Cake By The Ocean,DNCE,2016,"dance pop, pop"
"Me, Myself & I",G-Eazy x Bebe Rexha,2016,"indie pop rap, oakland hip hop, pop rap, rap"
Ride,twenty one pilots,2016,"modern rock, pop, pov: indie, rock"
Heathens,twenty one pilots,2016,"modern rock, pop, pov: indie, rock"
Pillowtalk,Zayn,2016,"pop, uk pop"
Stitches,Shawn Mendes,2016,"canadian pop, pop, viral pop"
Hotline Bling,Drake,2016,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Cold Water,Major Lazer Featuring Justin Bieber & MO,2016,"dance pop, edm, electro house, moombahton, pop, pop dance"
Send My Love (To Your New Lover),Adele,2016,"british soul, pop, pop soul, uk pop"
Roses,The Chainsmokers Featuring Rozes,2016,"electropop, pop"
Treat You Better,Shawn Mendes,2016,"canadian pop, pop, viral pop"
Too Good,Drake Featuring Rihanna,2016,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Low Life,Future Featuring The Weeknd,2016,"atl hip hop, hip hop, rap, southern hip hop, trap"
What Do You Mean?,Justin Bieber,2016,"canadian pop, pop"
The Hills,The Weeknd,2016,"canadian contemporary r&b, canadian pop, pop"
Just Like Fire,P!nk,2016,"dance pop, pop"
Broccoli,D.R.A.M. Featuring Lil Yachty,2016,"hip hop, trap, pop rap, contemporary r&b"
Don't,Bryson Tiller,2016,"hip hop, rap, r&b"
Dangerous Woman,Ariana Grande,2016,pop
Jumpman,Drake & Future,2016,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
I Hate U I Love U,gnash Featuring Olivia O'Brien,2016,"alt z, pop"
Here,Alessia Cara,2016,"canadian contemporary r&b, canadian pop, pop"
Same Old Love,Selena Gomez,2016,"pop, post-teen pop"
Controlla,Drake,2016,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2016,"hip pop, pop"
One Call Away,Charlie Puth,2016,"pop, viral pop"
Let It Go,James Bay,2016,"neo mellow, pop, uk pop"
No,Meghan Trainor,2016,"hip pop, pop"
Never Forget You,Zara Larsson & MNEK,2016,"pop, scandipop, swedish electropop, swedish pop"
Let Me Love You,DJ Snake Featuring Justin Bieber,2016,"edm, electronic trap, pop, pop dance"
Don't Mind,Kent Jones,2016,"pop rap, contemporary r&b"
H.O.L.Y.,Florida Georgia Line,2016,"contemporary country, country, country pop, country road, modern country rock"
